source,target,value
Dorne,The Westerlands,1
The Westerlands,The Crownsland,1
The Crownsland,The Neck,1
The Neck,Dorne,1
The Westerlands,The Stormlands,1
The Neck,The Reach,1
The Reach,The Stormlands,1
The Stormlands,The Iron Islands,1
The Iron Islands,The North,1
The North,The Riverlands,1
The Riverlands,The Vale,1
House Blackmont,Dorne,1
House Briar,Dorne,1
House Brook,Dorne,1
House Brownhill,Dorne,1
House Dalt of Lemonwood,Dorne,1
House Dayne of High Hermitage,Dorne,1
House Dayne of Starfall,Dorne,1
House Drinkwater,Dorne,1
House Dryland,Dorne,1
House Fowler of Skyreach,Dorne,1
House Gargalen of Salt Shore,Dorne,1
House Holt,Dorne,1
House Hulll,Dorne,1
House Jordayne of the Tor,Dorne,1
House Ladybright,Dorne,1
House Manwoody of Kingsgrave,Dorne,1
House Nymeros Martell of Sunspear,Dorne,1
House Qorgyle of Sandstone,Dorne,1
House Santagar of Spottswood,Dorne,1
House Toland of Ghost Hill,Dorne,1
House Uller of Hellholt,Dorne,1
House Vaith of the Red Dunes,Dorne,1
House Wade,Dorne,1
House Wells,Dorne,1
House Wyl of the Boneway,Dorne,1
House Yronwood of Yronwood,Dorne,1
House Blacktyde of Blacktyde,The Iron Islands,2
House Botley of Lordsport,The Iron Islands,2
House Codd,The Iron Islands,2
House Drumm of Old Wyk,The Iron Islands,2
House Farwynd of Seakskin Point,The Iron Islands,2
House Farwynd of the Lonely Light,The Iron Islands,2
House Goodbrother of Corpse Lake,The Iron Islands,2
House Goodbrother of Crow Spike Keep,The Iron Islands,2
House Goodbrother of Downdelving,The Iron Islands,2
House Goodbrother of Hammerhorn,The Iron Islands,2
House Goodbrother of Orkmont,The Iron Islands,2
House Goodbrother of Shatterstone,The Iron Islands,2
House Greyiron of Orkmont,The Iron Islands,2
House Greyjoy of Pyke,The Iron Islands,2
House Harlaw of Grey Garden,The Iron Islands,2
House Harlaw of Harlaw,The Iron Islands,2
House Harlae of Harlaw Hall,The Iron Islands,2
House Harlaw of Harridan Hill,The Iron Islands,2
House Harlaw of the Tower of Glimmering,The Iron Islands,2
House Hoare of Orkmont,The Iron Islands,2
House Humble,The Iron Islands,2
House Ironmaker,The Iron Islands,2
House Kenning of Harlaw,The Iron Islands,2
House Mrlyn of Pebbleton,The Iron Islands,2
House Myre of Harlaw,The Iron Islands,2
House Netley,The Iron Islands,2
House Orkwood of Orkmont,The Iron Islands,2
House Saltcliffe of Saltcliffe,The Iron Islands,2
House Sharp,The Iron Islands,2
House Shepherd,The Iron Islands,2
House Sparr of Great Wyk,The Iron Islands,2
House Stonehouse of Old Wyk,The Iron Islands,2
House Stonetree of Harlaw,The Iron Islands,2
House Sunderky of Saltcliffe,The Iron Islands,2
House Tawney of Orkmont,The Iron Islands,2
House Volmark,The Iron Islands,2
House Weaver,The Iron Islands,2
House Wynch of Iron Holt,The Iron Islands,2
House Bar Emmon of Sharp Point,The Crownsland,3
House Baratheon of Dargonstone,The Crownsland,3
House Baratheon of Kings Landing,The Crownsland,3
House Blount,The Crownsland,3
House Boggs of Crackclaw Point,The Crownsland,3
House Brune of Brownhollow,The Crownsland,3
House Brune of the Dyre Den,The Crownsland,3
House Buckwell of the Antlers,The Crownsland,3
House Byrch,The Crownsland,3
House Bywater,The Crownsland,3
House Cargyll,The Crownsland,3
House Cave,The Crownsland,3
House Celtigar of Claw Isle,The Crownsland,3
House Chelsted,The Crownsland,3
House Chyttering,The Crownsland,3
House Crabb,The Crownsland,3
House Cressey,The Crownsland,3
House Dargood,The Crownsland,3
House Darke,The Crownsland,3
House Darklyn of Duskendale,The Crownsland,3
House Darkwood,The Crownsland,3
House Edgerton,The Crownsland,3
House House Farring,The Crownsland,3
House Folard,The Crownsland,3
House Gaunt,The Crownsland,3
House Hardy,The Crownsland,3
House Harte,The Crownsland,3
House Hayford of Hayford,The Crownsland,3
House Hogg of Sow's Horn,The Crownsland,3
House Hollard,The Crownsland,3
House Kettleback,The Crownsland,3
House Langward,The Crownsland,3
House Longwaters,The Crownsland,3
House Mallery,The Crownsland,3
House Manning,The Crownsland,3
House Massey of Stonedance,The Crownsland,3
House Pyle,The Crownsland,3
House Pyne,The Crownsland,3
House Rambton,The Crownsland,3
House Rollingford,The Crownsland,3
House Rosby of Rosby,The Crownsland,3
House Rykker of Duskendale,The Crownsland,3
House Staunton of Rook's Rest,The Crownsland,3
House Stokeworth of Stokeworth,The Crownsland,3
House Sunglass of Sweetport Sound,The Crownsland,3
House Targaryen of King's Landing,The Crownsland,3
House Thorne,The Crownsland,3
House Velaryon of Driftmark,The Crownsland,3
House Wendwater,The Crownsland,3
House Blackmyre,The Neck,4
House Cray,The Neck,4
House Greenwood,The Neck,4
House Peat,The Neck,4
House Quagg,The Neck,4
House Reed of Greywater Watch,The Neck,4
House Fenn,The Neck,4
House Amber,The North,5
House Ashwood,The North,5
House Boggs,The North,5
House Bole,The North,5
House Bolton of the Dreadfort,The North,5
House Branch,The North,5
House Branfield,The North,5
House Burley,The North,5
House Cassel,The North,5
House Cerwyn of Cerwyn,The North,5
House Condon,The North,5
House Crowl of Deepdown,The North,5
House Dustin of the Barrowton,The North,5
House Fisher of the Stony Shore,The North,5
House Flint of the Mountains,The North,5
House Flint of Breakstone Hill,The North,5
House Flint of Flint's Finger,The North,5
House Flint of Widow's Watch,The North,5
House Forrester,The North,5
House Frost,The North,5
House Glenmore,The North,5
House Glover of Deepwood Motte,The North,5
House Greystark of Wolf's Den,The North,5
House Harclay,The North,5
House Hornwood of Hornwood,The North,5
House Ironsmith,The North,5
House Karstark of Karhold,The North,5
House Knott,The North,5
House Lake,The North,5
House Liddle,The North,5
House Lightfoot,The North,5
House Locke of Oldcastle,The North,5
House Long,The North,5
House Magnar of Kingshouse,The North,5
House Manderly of White Harbor,The North,5
House Marsh,The North,5
House Mollen,The North,5
House Mormont of Bear Island,The North,5
House Moss,The North,5
House Norrey,The North,5
House Overton,The North,5
House Poole,The North,5
House Ryder of the Rills,The North,5
House Ryswell of the Rills,The North,5
House Slate of Blackpool,The North,5
House Stane of Driftwood Hall,The North,5
House Stark of Winterfell,The North,5
House Stout of Goldgrass,The North,5
House Talhart of Torrhen's Square,The North,5
House Thenn,The North,5
House Towers,The North,5
House Umber of the Last Hearth,The North,5
House Waterman,The North,5
House Whitehill,The North,5
House Woodfoot of Bear Island,The North,5
House Woods,The North,5
House Woolfield,The North,5
House Wull,The North,5
House Ambrose,The Reach,6
House Appleton of Appleton,The Reach,6
House Ashford of Ashford,The Reach,6
House Ball,The Reach,6
House Bessbury of Honeyholt,The Reach,6
House Blackbar of Bandallon,The Reach,6
House Bridges,The Reach,6
House Bulwer,The Reach,6
House Bushy,The Reach,6
House Caswell of Bitterbridge,The Reach,6
House Chester of Greenshield,The Reach,6
House Cockshaw,The Reach,6
House Conklyn,The Reach,6
House Cordwayner of Hammerhal,The Reach,6
House Costayne of Three Towers,The Reach,6
House Crane of Red Lake,The Reach,6
House Cuy of Sunhouse,The Reach,6
House Dunn,The Reach,6
House Durwell,The Reach,6
House Florent of Brightwater Keep,The Reach,6
House Footly of Tumbleton,The Reach,6
House Fossoway of Cider Hall,The Reach,6
House Fossoway of New Barel,The Reach,6
House Gardener of Highgarden,The Reach,6
House Graceford of Holyhall,The Reach,6
House Graves,The Reach,6
House Grimm of Greyshield,The Reach,6
House Hastwyck,The Reach,6
House Hewett of Oakenshield,The Reach,6
House Hightower of the Hightower,The Reach,6
House Hunt,The Reach,6
House Hutcheson,The Reach,6
House Inchfield,The Reach,6
House Kidwell of Ivy Hall,The Reach,6
House Leygood,The Reach,6
House Lowther,The Reach,6
House Lyberr,The Reach,6
House Meadows of Grassy Vale,The Reach,6
House Merryweather of Longtable,The Reach,6
House Middlebury,The Reach,6
House Mullendore of Uplands,The Reach,6
House Norcross,The Reach,6
House Norridge,The Reach,6
House Oakheart of Old Oak,The Reach,6
House Oldflowers,The Reach,6
House Orme,The Reach,6
House Osgrey of Leafy Lake,The Reach,6
House Osgrey of Starpike,The Reach,6
House Peake of Starpike,The Reach,6
House Pommingham,The Reach,6
House Redding,The Reach,6
House Redwyne of the Arbor,The Reach,6
House Rhysling,The Reach,6
House Risley,The Reach,6
House Rowan of the Goldengrove,The Reach,6
House Roxton of the Ring,The Reach,6
House Serry of Southshield,The Reach,6
House Sloane,The Reach,6
House Stackhouse,The Reach,6
House Tarly of Horn Hill,The Reach,6
House Tyrell of Brightwater Keep,The Reach,6
House Tyrell of Highgarden,The Reach,6
House Uffering,The Reach,6
House Varner,The Reach,6
House Vyrwel of Darkdell,The Reach,6
House Webber of Coldmoat,The Reach,6
House Westbrook,The Reach,6
House Willum,The Reach,6
House Woodwright,The Reach,6
House Wythers,The Reach,6
House Yelshire,The Reach,6
House Baelish of Harrenhal,The Riverlands,7
House Bigglestone,The Riverlands,7
House Blackwood of Raventree Hall,The Riverlands,7
House Blanetree,The Riverlands,7
House Bracken of Stone Hedge,The Riverlands,7
House Butterwell,The Riverlands,7
House Chambers,The Riverlands,7
House Charlton,The Riverlands,7
House Darry of Darry,The Riverlands,7
House Deddings,The Riverlands,7
House Erenford,The Riverlands,7
House Fisher,The Riverlands,7
House Frey of Riverrun,The Riverlands,7
House Frey of the Crossing,The Riverlands,7
House Goodbrook,The Riverlands,7
House Grell,The Riverlands,7
House Grey,The Riverlands,7
House Haigh,The Riverlands,7
House Harlton,The Riverlands,7
House Harroway of Harrenhal,The Riverlands,7
House Hawick of Saltpans,The Riverlands,7
House Heddle,The Riverlands,7
House Hook,The Riverlands,7
House Justman,The Riverlands,7
House Keath,The Riverlands,7
House Lannister of Darry,The Riverlands,7
House Lolliston,The Riverlands,7
House Lothston of Harrenhal,The Riverlands,7
House Lychester,The Riverlands,7
House Mallister of Seagard,The Riverlands,7
House Mooton of Maidenpool,The Riverlands,7
House Mudd of Oldstones,The Riverlands,7
House Nayland of Hag's Mire,The Riverlands,7
House Nutt,The Riverlands,7
House Paege,The Riverlands,7
House Perryn,The Riverlands,7
