source,target,value
House Blackmont,Dorne,1
House Briar,Dorne,1
House Brook,Dorne,1
House Brownhill,Dorne,1
House Dalt of Lemonwood,Dorne,1
House Dayne of High Hermitage,Dorne,1
House Dayne of Starfall,House Dayne of  High Hermitage,1
House Drinkwater,Dorne,1
House Dryland,Dorne,1
House Fowler of Skyreach,Dorne,1
House Gargalen of Salt Shore,Dorne,1
House Holt,Dorne,1
House Hulll,Dorne,1
House Jordayne of the Tor,Dorne,1
House Ladybright,Dorne,1
House Lake,Dorne,1
House Manwoody of Kingsgrave,Dorne,1
House Nymeros Martell of Sunspear,Dorne,1
House Qorgyle of Sandstone,Dorne,1
House Santagar of Spottswood,Dorne,1
House Shell,Dorne,1
House Toland of Ghost Hill,Dorne,1
House Uller of Hellholt,Dorne,1
House Vaith of the Red Dunes,Dorne,1
House Wade,Dorne,1
House Wells,Dorne,1
House Wyl of the Boneway,Dorne,1
House Yronwood of Yronwood,Dorne,1
House Blacktyde of Blacktyde,Iron Islands,2
House Botley of Lordsport,Iron Islands,2
House Codd,Iron Islands,2
House Drumm of Old Wyk,Iron Islands,2
House Farwynd of Seakskin Point,Iron Islands,2
House Farwynd of the Lonely Light,House Farwynd of Seakskin Point,2
House Goodbrother of Corpse Lake,Iron Islands,2
House Goodbrother of Crow Spike Keep,House Goodbrother of Corpse Lake,2
House Goodbrother of Downdelving,House Goodbrother of Corpse Lake,2
House Goodbrother of Hammerhorn,House Goodbrother of Corpse Lake,2
House Goodbrother of Orkmont,House Goodbrother of Corpse Lake,2
House Goodbrother of Shatterstone,House Goodbrother of Corpse Lake,2
House Greyiron of Orkmont,Iron Islands,2
House Greyjoy of Pyke,Iron Islands,2
House Harlaw of Grey Garden,House Harlaw of Grey Garden,2
House Harlaw of Harlaw,House Harlaw of Grey Garden,2
House Harlae of Harlaw Hall,House Harlaw of Grey Garden,2
House Harlaw of Harridan Hill,House Harlaw of Grey Garden,2
House Harlaw of the Tower of Glimmering,House Harlaw of Grey Garden,2
House Hoare of Orkmont,Iron Islands,2
House Humble,Iron Islands,2
House Ironmaker,Iron Islands,2
House Kenning of Harlaw,Iron Islands,2
House Mrlyn of Pebbleton,Iron Islands,2
House Myre of Harlaw,Iron Islands,2
House Netley,Iron Islands,2
House Orkwood of Orkmont,Iron Islands,2
House Saltcliffe of Saltcliffe,Iron Islands,2
House Sharp,Iron Islands,2
House Shepherd,Iron Islands,2
House Sparr of Great Wyk,Iron Islands,2
House Stonehouse of Old Wyk,House Drumm of Old Wyk,2
House Stonetree of Harlaw,House Harlaw of Harlaw,2
House Sunderky of Saltcliffe,Iron Islands,2
House Tawney of Orkmont,Iron Islands,2
House Volmark,Iron Islands,2
House Weaver,Iron Islands,2
House Wynch of Iron Holt,Iron Islands,2
House Bar Emmon of Sharp Point,The Crownlands,3
House Baratheon of Dargonstone,The Crownlands,3
House Baratheon of Kings Landing,The Crownlands,3
House Blount,The Crownlands,3
House Boggs of Crackclaw Point,The Crownlands,3
House Brune of Brownhollow,The Crownlands,3
House Brune of the Dyre Den,The Crownlands,3
House Buckwell of the Antlers,The Crownlands,3
House Byrch,The Crownlands,3
House Bywater,The Crownlands,3
House Cargyll,The Crownlands,3
House Cave,The Crownlands,3
House Celtigar of Claw Isle,The Crownlands,3
House Chelsted,The Crownlands,3
House Chyttering,The Crownlands,3
House Crabb,The Crownlands,3
House Cressey,The Crownlands,3
House Dargood,The Crownlands,3
House Darke,The Crownlands,3
House Darklyn of Duskendale,The Crownlands,3
House Darkwood,The Crownlands,3
House Edgerton,The Crownlands,3
House House Farring,The Crownlands,3
House Folard,The Crownlands,3
House Gaunt,The Crownlands,3
House Hardy,The Crownlands,3
House Harte,The Crownlands,3
House Hayford of Hayford,The Crownlands,3
House Hogg of Sow's Horn,The Crownlands,3
House Hollard,The Crownlands,3
House Kettleback,The Crownlands,3
House Langward,The Crownlands,3
House Longwaters,The Crownlands,3
House Mallery,The Crownlands,3
House Manning,The Crownlands,3
House Massey of Stonedance,The Crownlands,3
House Pyle,The Crownlands,3
House Pyne,The Crownlands,3
House Rambton,The Crownlands,3
House Rollingford,The Crownlands,3
House Rosby of Rosby,The Crownlands,3
House Rykker of Duskendale,House Darklyn of Duskendale,3
House Staunton of Rook's Rest,The Crownlands,3
House Stokeworth of Stokeworth,The Crownlands,3
House Sunglass of Sweetport Sound,The Crownlands,3
House Targaryen of King's Landing,The Crownlands,3
House Thorne,The Crownlands,3
House Velaryon of Driftmark,The Crownlands,3
House Wendwater,The Crownlands,3
House Blackmyre,The Neck,4
House Cray,The Neck,4
House Greenwood,The Neck,4
House Peat,The Neck,4
House Quagg,The Neck,4
House Reed of Greywater Watch,The Neck,4
House Fenn,The Neck,4
House Amber,The North,5
House Ashwood,The North,5
House Boggs,The North,5
House Bole,The North,5
House Bolton of the Dreadfort,The North,5
House Branch,The North,5
House Branfield,The North,5
House Burley,The North,5
House Cassel,The North,5
House Cerwyn of Cerwyn,The North,5
House Condon,The North,5
House Crowl of Deepdown,The North,5
House Dustin of the Barrowton,The North,5
House Fisher of the Stony Shore,The North,5
House Flint of the Mountains,The North,5
House Flint of Breakstone Hill,House Flint of the Mountains,5
House Flint of Flint's Finger,House Flint of the Mountains,5
House Flint of Widow's Watch,House Flint of the Mountains,5
House Forrester,The North,5
House Frost,The North,5
House Glenmore,The North,5
House Glover of Deepwood Motte,The North,5
House Greenwood,The North,5
House Greystark of Wolf's Den,The North,5
House Harclay,The North,5
House Holt,The North,5
House Hornwood of Hornwood,The North,5
House Ironsmith,The North,5
House Karstark of Karhold,The North,5
House Knott,The North,5
House Lake,The North,5
House Liddle,The North,5
House Lightfoot,The North,5
House Locke of Oldcastle,The North,5
House Long,The North,5
House Magnar of Kingshouse,The North,5
House Manderly of White Harbor,The North,5
House Marsh,The North,5
House Mollen,The North,5
House Mormont of Bear Island,The North,5
House Moss,The North,5
House Norrey,The North,5
House Overton,The North,5
House Poole,The North,5
House Ryder of the Rills,The North,5
House Ryswell of the Rills,House Ryder of the Rills,5
House Slate of Blackpool,The North,5
House Stane of Driftwood Hall,The North,5
House Stark of Winterfell,The North,5
House Stout of Goldgrass,The North,5
House Talhart of Torrhen's Square,The North,5
House Thenn,The North,5
House Towers,The North,5
House Umber of the Last Hearth,The North,5
House Waterman,The North,5
